CNT,CNTSCHID,CNTSTUID,RTML_mean,ESCS,ST011Q01TA,ST004D01T,ST001D01T,RATCMP1,RATCMP2,EDUSHORT
NOR,57800008.0,57800127.0,347.1993,1.6623,1.0,2.0,10.0,1.0,1.0,-0.949
NOR,57800063.0,57800129.0,661.5411999999999,1.5162,1.0,1.0,10.0,1.5625,1.0,-1.4212
NOR,57800018.0,57800130.0,498.15350000000007,0.86,1.0,1.0,10.0,0.4348,1.0,0.8339
NOR,57800209.0,57800131.0,444.2366,0.571,1.0,2.0,10.0,1.0,1.0,0.4292
NOR,57800197.0,57800133.0,493.63599999999997,0.4364,,1.0,10.0,1.0,1.0,-1.4212
NOR,57800118.0,57800134.0,445.8923,1.1729,1.0,2.0,10.0,1.0,1.0,-0.0672
NOR,57800034.0,57800135.0,715.7275999999999,0.8372,1.0,1.0,10.0,1.0,1.0,0.2681
NOR,57800152.0,57800137.0,595.4542,1.9138,1.0,2.0,10.0,1.0,1.0,-0.4526
NOR,57800184.0,57800138.0,382.2455,0.878,1.0,1.0,10.0,1.0,1.0,1.0245
NOR,57800061.0,57800139.0,509.88800000000003,-0.893,1.0,2.0,10.0,0.5042,1.0,-0.6884
NOR,57800156.0,57800140.0,463.1496000000001,-1.0299,1.0,2.0,10.0,0.4,1.0,-1.4212
NOR,57800059.0,57800141.0,491.7813,0.6505,1.0,1.0,10.0,4.7619,1.0,-1.4212
NOR,57800001.0,57800142.0,651.5987,1.3499,1.0,1.0,10.0,1.0,1.0,-0.0672
NOR,57800026.0,57800143.0,671.4968,1.0809,1.0,2.0,10.0,1.0,1.0,0.1
NOR,57800020.0,57800144.0,451.5697,0.1076,1.0,2.0,10.0,1.2333,0.9459,-1.4212
NOR,57800063.0,57800145.0,611.6072,0.4685,1.0,1.0,10.0,1.5625,1.0,-1.4212
NOR,57800091.0,57800146.0,666.7151,-0.3272,1.0,1.0,10.0,1.0,1.0,-0.6884
NOR,57800021.0,57800148.0,572.3971,0.9612,1.0,1.0,10.0,1.0,1.0,0.0574
NOR,57800199.0,57800149.0,671.8688,0.7338,1.0,1.0,10.0,2.5,1.0,-1.4212
NOR,57800125.0,57800150.0,283.23889999999994,-0.7993,1.0,2.0,10.0,0.2727,1.0,0.265
NOR,57800252.0,57800152.0,572.0088999999999,1.2092,1.0,2.0,10.0,0.5208,1.0,-1.4212
NOR,57800071.0,57800153.0,461.32370000000003,0.101,1.0,1.0,10.0,0.3846,1.0,1.7368
